display_name,strategy_bucket,active,cnpj,manager,match_status,notes,source_label,subscription_status,subscription_status_source,subscription_status_checked_at,evidence_note
Itaú Janeiro,Multimercados,True,52.116.227/0001-09,Itaú Asset,matched,,,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Occam Retorno Absoluto,Multimercados,True,17.162.002/0001-80,Occam Brasil,matched,Occam Retorno Absoluto FIC FIM,Occam Retorno,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Capstone Macro,Multimercados,True,35.726.908/0001-61,Capstone Partners,matched,,,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Vinland Macro Plus,Multimercados,True,30.593.439/0001-36,Vinland Capital,matched,,,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Gávea Macro,Multimercados,True,08.893.082/0001-52,Gávea Investimentos,matched,,,unknown,,2026-04-08T15:37:55Z,CNPJ not found in CVM175 registro_classe or legacy cad_fi
Kapitalo K10,Multimercados,True,29.726.133/0001-21,Kapitalo,matched,,,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio not available in CVM175 registro
XP Macro,Multimercados,True,23.922.063/0001-09,XP Asset,matched,Main XP Macro fund; distinct from XP Macro Plus and XP Macro Institucional,,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Ibiuna Hedge STH,Multimercados,True,15.799.713/0001-34,Ibiuna,,,,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Kapitalo Zeta,Multimercados,True,12.105.992/0001-09,Kapitalo,matched,,,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Mar Absoluto,Multimercados,True,32.397.723/0001-62,Mar Asset,matched,,,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Vista Multiestratégia,Multimercados,True,21.646.715/0001-96,Vista Capital,matched,,Vista Multi,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Truxt I Macro,Multimercados,True,26.277.600/0001-95,Truxt Investimentos,matched,,,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Bahia Maraú,Multimercados,True,17.087.932/0001-16,Bahia Asset,matched,Corrected: was 09.480.816/0001-34 (Cíclotron FIM IE offshore equity fund),Bahia AM Maraú,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Kapitalo Kappa,Multimercados,True,26.978.187/0001-96,Kapitalo,,,,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Guepardo,Long Only,True,06.035.405/0001-41,Guepardo Investimentos,matched,,Guepardo FIC FIA,closed,CVM cad_fi (dados.cvm.gov.br/dados/FI/CAD/DADOS/cad_fi.csv),2026-04-08T15:37:55Z,SIT='CANCELADA' — fund registration cancelled in CVM legacy cadastro; not found in CVM175 registro (fund did not migrate or was merged)
SPX Patriot,Long Only,True,15.334.585/0001-53,SPX Capital,matched,,,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Charles River Ações,Long Only,True,14.438.229/0001-17,Charles River,matched,,Charles River FIF Ações,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio not available in CVM175 registro
Itaú Smart Ações Brasil 50,Long Only,True,35.110.510/0001-04,Itaú Asset,matched,,Itau Smart Ações Brasil 50,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Real Investor Ações,Long Only,True,10.500.884/0001-05,Real Investor,matched,,Real Investor Resp LTDA FIF CIC Ações,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Opportunity Lógica,Long Only,True,00.185.259/0001-54,Opportunity,matched,,Opportunity Logica,closed,CVM cad_fi (dados.cvm.gov.br/dados/FI/CAD/DADOS/cad_fi.csv),2026-04-08T15:37:55Z,SIT='CANCELADA' — fund registration cancelled in CVM legacy cadastro; not found in CVM175 registro (fund did not migrate or was merged)
Kapitalo Tarkus,Long Only,True,28.747.685/0001-53,Kapitalo,matched,,,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio not available in CVM175 registro
Opportunity Selection,Long Only,True,13.106.983/0001-97,Opportunity,matched,,,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Zenith Vitória Régia,Long Only,True,05.384.841/0001-63,Zenith Asset,matched,,Zenith Vitoria regia,unknown,,2026-04-08T15:37:55Z,CNPJ not found in CVM175 registro_classe or legacy cad_fi
AF Invest Minas,Long Only,True,11.209.172/0001-96,AF Invest,matched,,,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Constellation,Long Only,True,18.872.811/0001-48,Constellation Investimentos,matched,,,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Safra Equity Portfolio Special,Long Only,True,47.178.215/0001-60,Safra Asset,matched,,,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Squadra Long-Only,Long Only,True,09.412.822/0001-54,Squadra Investimentos,matched,Squadra Long-Only FIC FIA (also registered as Squadra Long Only FIF Cotas FIA),Squadra Long-Only FIC FIA,unknown,,2026-04-08T15:37:55Z,CNPJ not found in CVM175 registro_classe or legacy cad_fi
Dynamo Cougar,Long Only,True,73.232.530/0001-39,Dynamo,matched,Dynamo Cougar FIF; master is Dynamo Cougar Master FIA (37.916.879/0001-26); fund started 1993; AUM ~R$6.3bn,Dynamo Cougar FIF,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Atmos Ações,Long Only,True,11.145.320/0001-56,Atmos Capital,matched,Atmos Ações FIF Cotas FIA; admin BTG Pactual; started 2009,Atmos Ações FIC FIA,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Sharp Equity Value,Long Only,True,12.565.159/0001-32,Sharp Capital,matched,Sharp Equity Value Feeder FIC FIA; value investing strategy; long-only confirmed; distinct from Sharp Long Biased and Sharp Long Short,Sharp Equity Value Feeder,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Sharp Ibovespa Ativo,Long Only,True,08.912.569/0001-35,Sharp Capital,matched,Sharp Ibovespa Ativo Feeder FIC FI Financeiro Ações RL; active Ibovespa management; started 2007,Sharp Ibovespa Ativo Feeder,unknown,,2026-04-08T15:37:55Z,CNPJ not found in CVM175 registro_classe or legacy cad_fi
Truxt I Long Biased,Long Biased,True,26.210.505/0001-74,Truxt Investimentos,matched,,,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
SPX Falcon,Long Biased,True,16.617.768/0001-49,SPX Capital,matched,,,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Pátria Long Biased,Long Biased,True,38.954.217/0001-03,Pátria Investimentos,matched,,,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Absolute Pace Long Biased,Long Biased,True,32.073.525/0001-43,Absolute Investimentos,matched,,,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Guepardo Long Biased,Long Biased,True,24.623.392/0001-03,Guepardo Investimentos,matched,,Guepardo Long Bias,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Itaú Vértice Fundamenta LATAM,Long Biased,True,28.140.793/0001-63,Itaú Asset,matched,,Itaú Vertice Fundamenta LATAM,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Ibiuna Long Biased,Long Biased,True,17.554.200/0001-99,Ibiuna,matched,,,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Vinci Total Return,Long Biased,True,35.636.909/0001-15,Vinci Partners,matched,,,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
AZ Quest Top Long Biased,Long Biased,True,13.974.750/0001-06,AZ Quest,matched,AZ Quest Top Long Biased FIC FIF Ações,Az quest top long biased,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Occam Long Biased,Long Biased,True,18.525.868/0001-70,Occam Brasil,matched,Occam Long Biased FIC FIM RL,Occam Long biased,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
JGP Equity,Long Biased,True,09.143.318/0001-04,JGP Gestão de Recursos,matched,JGP Equity FIC FIM,,unknown,,2026-04-08T15:37:55Z,CNPJ not found in CVM175 registro_classe or legacy cad_fi
Bahia Long Biased,Long Biased,True,23.732.231/0001-95,Bahia Asset,matched,Bahia AM Long Biased FIC FIM,Bahia AM Long Biased,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Genoa Arpa,Long Biased,True,37.495.383/0001-26,Genoa Capital,matched,Genoa Capital Arpa FIC FIM,Genoa Capital Arpa,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Itaú Optimus Long Biased,Long Biased,True,46.479.577/0001-29,Itaú Asset,matched,Itaú Optimus Long Bias Multimercado FIF DA Classe FIC RL; started 2022-07-29,Itau Optimus Long biased,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
IP Value Hedge,Long Biased,True,11.827.579/0001-87,Investidor Profissional,matched,IP Value Hedge Partners FIC FIA BDR Nível I,,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Bahia Long Biased CIC,Long Biased,True,34.081.230/0001-44,Bahia Asset,matched,Post-CVM175 class; same strategy as Bahia Long Biased but distinct legal entity,BAHIA AM LONG BIASED FIF CIC MULTIMERCADO RL,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Polo Long Bias I,Long Biased,True,27.347.332/0001-01,Polo Capital,matched,Polo Long Bias I FIC FIM,,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Squadra Long-Biased,Long Biased,True,09.285.146/0001-03,Squadra Investimentos,matched,Squadra Long-Biased FIC FIA (also registered as Squadra Long-Biased FI Financeiro Cotas FIA),Squadra Long-Biased FIC FIA,unknown,,2026-04-08T15:37:55Z,CNPJ not found in CVM175 registro_classe or legacy cad_fi
Sharp Long Biased,Long Biased,True,32.068.007/0001-31,Sharp Capital,matched,Sharp Long Biased Feeder FIC FIA; master is Sharp Long Biased Master FIA (32.064.571/0001-86); distinct from Sharp Long Short and Sharp Equity Value,Sharp Long Biased Feeder,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Truxt I Long Short,Long Short,True,26.262.377/0001-02,Truxt Investimentos,matched,Truxt I Long Short FIC FIM,,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Polo Norte I,Long Short,True,07.013.315/0001-12,Polo Capital,matched,Polo Norte I Long Short FIC FIM,,closed,CVM cad_fi (dados.cvm.gov.br/dados/FI/CAD/DADOS/cad_fi.csv),2026-04-08T15:37:55Z,SIT='CANCELADA' — fund registration cancelled in CVM legacy cadastro; not found in CVM175 registro (fund did not migrate or was merged)
Távola Equity Hedge,Long Short,True,40.575.693/0001-65,Távola Capital,matched,Tavola Equity Hedge 15 FI Financeiro Multimercado,,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Real Investor Long Short,Long Short,True,60.335.772/0001-06,Real Investor,matched,Real Investor Long Short FIC FIF Multimercado RL; no specific Plus variant found,Real Investor Long Short (Plus),unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Oceana Equity Hedge,Long Short,True,28.777.460/0001-40,Oceana Investimentos,matched,Oceana Equity Hedge FIC FI Financeiro Ações RL (feeder); master is 15.612.413/0001-02,,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Bradesco Equity Hedge,Long Short,True,38.376.759/0001-46,Bradesco Asset (BRAM),matched,Bradesco FIC FIM Equity Hedge,,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Sharp Long Short,Long Short,True,07.279.819/0001-89,Sharp Capital,matched,Sharp Long Short FI Financeiro Multimercado,,unknown,,2026-04-08T15:37:55Z,CNPJ not found in CVM175 registro_classe or legacy cad_fi
XP Investor Equity Hedge,Long Short,True,43.761.934/0001-59,XP Asset,matched,XP Investor Equity Hedge FIC FI Financeiro Multimercado RL,,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
SPX Hornet,Long Short,True,46.997.468/0001-01,SPX Capital,matched,SPX Hornet Equity Hedge FIC FIM,,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Ibiuna Long Short,Long Short,True,18.391.138/0001-24,Ibiuna,matched,Ibiuna Long Short STLS FIC FIM,,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
AZ Quest Total Return,Long Short,True,14.812.722/0001-55,AZ Quest,matched,AZ Quest Total Return FIC FI Financeiro Multimercado,,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Bahia Una Equity Hedge,Long Short,True,61.373.421/0001-52,Bahia Asset,matched,Bahia AM Una Equity Hedge FIF CI Multimercado RL,BAHIA AM UNA EH FIF CI MULT RL | SUB CONDOMINIAL,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio not available in CVM175 registro
Polo I,Long Short,True,05.605.879/0001-19,Polo Capital,matched,Polo I FI Financeiro da Classe FIC Ações RL; user chose Polo I over Polo II,Polo I FIC FIA,closed,CVM cad_fi (dados.cvm.gov.br/dados/FI/CAD/DADOS/cad_fi.csv),2026-04-08T15:37:55Z,SIT='CANCELADA' — fund registration cancelled in CVM legacy cadastro; not found in CVM175 registro (fund did not migrate or was merged)
Schroder GAIA Contour Tech,Long Short,True,35.769.107/0001-83,Schroders,matched,Schroder GAIA Contour Tech Equity Long & Short BRL FIF Multimercado IE RL; main Brazilian BRL vehicle investing in Schroder GAIA Contour Tech Equity (Luxembourg SICAV); tech-focused L/S equity,Schroder GAIA Contour Tech Equity,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Icatu Vanguarda Crédito Privado,Crédito D<2,True,07.900.255/0001-50,Icatu Vanguarda,matched,Icatu Vanguarda Crédito Privado FI Renda Fixa LP,Icatu Vanguarda,unknown,,2026-04-08T15:37:55Z,CNPJ not found in CVM175 registro_classe or legacy cad_fi
